data type,model,init method,prune ratio,restore,mean,max,min,std
cifar10,conv3,kaiming_in,0.8,0,53.50599899291992,53.97999954223633,53.02000045776367,0.42341436763063545
cifar10,conv3,kaiming_in,0.8,1,53.30400009155274,53.70000076293945,52.7599983215332,0.3645963630734342
cifar10,conv3,kaiming_in,0.82,0,51.89199981689453,52.58000183105469,51.29999923706055,0.6029271918995737
cifar10,conv3,kaiming_in,0.82,1,52.29800033569336,53.630001068115234,50.72999954223633,1.0492240122266117
cifar10,conv3,kaiming_in,0.84,0,50.87199935913086,51.810001373291016,50.16999816894531,0.7224413387161567
cifar10,conv3,kaiming_in,0.84,1,56.15999984741211,58.2400016784668,51.709999084472656,2.6208592687479557
cifar10,conv3,kaiming_in,0.86,0,56.029999542236325,56.97999954223633,55.09000015258789,0.8344752347371946
cifar10,conv3,kaiming_in,0.86,1,55.76599960327148,56.63999938964844,54.77000045776367,0.6952908920669854
cifar10,conv3,kaiming_in,0.88,0,54.20600051879883,55.22999954223633,52.77000045776367,0.915494332280258
cifar10,conv3,kaiming_in,0.88,1,54.03600006103515,55.02000045776367,53.150001525878906,0.8491049730272295
cifar10,conv3,kaiming_in,0.9,0,51.58399963378906,52.970001220703125,50.77999877929688,0.8237303279220884
cifar10,conv3,kaiming_in,0.9,1,51.34199981689453,51.959999084472656,50.59999847412109,0.5813958725227647
cifar10,conv3,kaiming_in,0.92,0,49.752000427246095,50.209999084472656,49.33000183105469,0.35102638876011016
cifar10,conv3,kaiming_in,0.92,1,48.77799987792969,50.61000061035156,47.380001068115234,1.2577040239767963
cifar10,conv3,kaiming_in,0.94,0,46.11800003051758,47.43999862670898,45.15999984741211,0.8357146920325729
cifar10,conv3,kaiming_in,0.94,1,46.00400009155273,46.83000183105469,45.41999816894531,0.5270969347209
cifar10,conv3,kaiming_in,0.96,0,40.70999984741211,42.33000183105469,37.560001373291016,1.9514734296431344
cifar10,conv3,kaiming_in,0.96,1,41.15999984741211,41.900001525878906,40.09999847412109,0.7301035595957549
cifar10,conv3,kaiming_in,0.98,0,29.43400001525879,32.88999938964844,24.61000061035156,3.2350778053160893
cifar10,conv3,kaiming_in,0.98,1,30.458000564575194,34.290000915527344,24.809999465942383,3.7777738608579123
cifar10,conv3,xavier,0.8,0,53.15399932861328,53.97999954223633,52.38999938964844,0.632241929914147
cifar10,conv3,xavier,0.8,1,53.71800003051758,54.40999984741211,52.84999847412109,0.5951228171161813
cifar10,conv3,xavier,0.82,0,52.49399948120117,53.0,51.52999877929688,0.5775209037668328
cifar10,conv3,xavier,0.82,1,51.577999877929685,52.22999954223633,50.97999954223633,0.45085457135738544
cifar10,conv3,xavier,0.84,0,50.67599945068359,51.130001068115234,50.22999954223633,0.40221960160010867
cifar10,conv3,xavier,0.84,1,57.262001037597656,57.810001373291016,56.83000183105469,0.46996840642857113
cifar10,conv3,xavier,0.86,0,55.68800048828125,57.34000015258789,54.45000076293945,1.0920484129267976
cifar10,conv3,xavier,0.86,1,55.6740005493164,56.880001068115234,54.720001220703125,0.8780830882216877
cifar10,conv3,xavier,0.88,0,53.50999984741211,54.77999877929688,52.209999084472656,0.9558240684416722
cifar10,conv3,xavier,0.88,1,53.55,54.47999954223633,52.72999954223633,0.6914833400715085
cifar10,conv3,xavier,0.9,0,51.45199966430664,51.93999862670898,51.15999984741211,0.2904645955093723
cifar10,conv3,xavier,0.9,1,51.263999938964844,52.52999877929688,49.75,1.0929681400498499
cifar10,conv3,xavier,0.92,0,49.204000854492186,50.2400016784668,48.380001068115234,0.7732276567850087
cifar10,conv3,xavier,0.92,1,48.44800033569336,48.84000015258789,48.18000030517578,0.26527359798405314
cifar10,conv3,xavier,0.94,0,45.76800003051758,47.70000076293945,44.70000076293945,1.1914153981468287
cifar10,conv3,xavier,0.94,1,44.90400009155273,46.150001525878906,41.869998931884766,1.7490090672831924
cifar10,conv3,xavier,0.96,0,40.400000762939456,40.90999984741211,39.540000915527344,0.5238793690861234
cifar10,conv3,xavier,0.96,1,41.25400009155273,42.36000061035156,40.34000015258789,0.8075772385646004
cifar10,conv3,xavier,0.98,0,29.85,31.61000061035156,27.8799991607666,1.6521658962766153
cifar10,conv3,xavier,0.98,1,29.190000152587892,31.18000030517578,25.63999938964844,2.251688625003735
cifar10,conv3_wobn,kaiming_in,0.8,0,52.66999969482422,53.540000915527344,51.560001373291016,0.7606571543671445
cifar10,conv3_wobn,kaiming_in,0.8,1,52.65400009155273,53.13999938964844,51.59000015258789,0.6284344663847448
cifar10,conv3_wobn,kaiming_in,0.82,0,51.533999633789065,52.59000015258789,49.7599983215332,1.0905650535752607
cifar10,conv3_wobn,kaiming_in,0.82,1,51.41600036621094,52.220001220703125,50.9900016784668,0.47363523469292046
cifar10,conv3_wobn,kaiming_in,0.84,0,49.60600051879883,49.90999984741211,49.150001525878906,0.3580915477646486
cifar10,conv3_wobn,kaiming_in,0.84,1,55.668000030517575,56.58000183105469,54.95000076293945,0.7298430682260416
cifar10,conv3_wobn,kaiming_in,0.86,0,54.80999984741211,55.7400016784668,54.11000061035156,0.7987494302438044
cifar10,conv3_wobn,kaiming_in,0.86,1,54.79800033569336,55.18000030517578,54.13999938964844,0.45301265326741746
cifar10,conv3_wobn,kaiming_in,0.88,0,52.939999389648435,54.04999923706055,52.36000061035156,0.6446314162232522
cifar10,conv3_wobn,kaiming_in,0.88,1,51.86399917602539,52.68999862670898,51.15999984741211,0.7339818566185461
cifar10,conv3_wobn,kaiming_in,0.9,0,50.34000015258789,51.56999969482422,48.130001068115234,1.3160542738722678
cifar10,conv3_wobn,kaiming_in,0.9,1,50.87799987792969,51.540000915527344,50.31999969482422,0.4555440132998867
cifar10,conv3_wobn,kaiming_in,0.92,0,47.51000061035156,49.290000915527344,45.7400016784668,1.2817368558029922
cifar10,conv3_wobn,kaiming_in,0.92,1,47.87000045776367,48.400001525878906,47.36000061035156,0.4558510352318796
cifar10,conv3_wobn,kaiming_in,0.94,0,44.072000122070314,45.38999938964844,43.0,0.9170438602821717
