data type,model,init method,prune ratio,restore,number,best accuracy
cifar10,fc3_wobn,kaiming_in,0.82,0,3,58.310001373291016
cifar10,fc3_wobn,kaiming_out,0.84,0,3,57.880001068115234
cifar10,fc3_wobn,xavier,0.86,0,5,58.18000030517578
cifar10,fc3_wobn,xavier,0.98,0,2,48.130001068115234
cifar10,fc3_wobn,kaiming_out,0.98,1,5,50.45000076293945
cifar10,fc3_wobn,kaiming_out,0.94,0,5,56.2599983215332
cifar10,fc3_wobn,xavier,0.82,1,3,58.33000183105469
cifar10,fc3_wobn,xavier,0.92,1,4,56.88999938964844
cifar10,fc3_wobn,kaiming_out,0.96,0,5,54.9900016784668
cifar10,fc3_wobn,kaiming_out,0.98,1,4,49.52000045776367
cifar10,fc3_wobn,kaiming_out,0.86,1,5,57.540000915527344
cifar10,fc3_wobn,kaiming_out,0.92,0,4,56.7599983215332
cifar10,fc3_wobn,xavier,0.96,1,4,54.790000915527344
cifar10,fc3_wobn,kaiming_out,0.80,1,1,57.7599983215332
cifar10,fc3_wobn,xavier,0.82,1,2,58.72999954223633
cifar10,fc3_wobn,kaiming_out,0.90,1,4,57.689998626708984
cifar10,fc3_wobn,xavier,0.80,0,1,58.119998931884766
cifar10,fc3_wobn,kaiming_in,0.86,0,3,58.43000030517578
cifar10,fc3_wobn,kaiming_out,0.92,1,2,56.7400016784668
cifar10,fc3_wobn,kaiming_in,0.86,1,4,58.22999954223633
cifar10,fc3_wobn,kaiming_in,0.90,1,2,57.83000183105469
cifar10,fc3_wobn,kaiming_in,0.90,0,4,58.04999923706055
cifar10,fc3_wobn,xavier,0.92,0,3,57.34000015258789
cifar10,fc3_wobn,kaiming_in,0.98,1,5,51.25
cifar10,fc3_wobn,kaiming_in,0.80,1,3,58.209999084472656
cifar10,fc3_wobn,xavier,0.94,0,1,56.31999969482422
cifar10,fc3_wobn,kaiming_in,0.84,1,5,57.79999923706055
cifar10,fc3_wobn,kaiming_in,0.94,0,3,56.68000030517578
cifar10,fc3_wobn,xavier,0.94,0,2,56.130001068115234
cifar10,fc3_wobn,kaiming_in,0.88,0,2,58.099998474121094
cifar10,fc3_wobn,kaiming_out,0.82,0,1,57.59000015258789
cifar10,fc3_wobn,xavier,0.88,1,1,58.15999984741211
cifar10,fc3_wobn,xavier,0.82,0,5,58.5
cifar10,fc3_wobn,kaiming_in,0.96,1,3,55.13999938964844
cifar10,fc3_wobn,xavier,0.84,0,3,58.0099983215332
cifar10,fc3_wobn,kaiming_out,0.90,1,5,57.34000015258789
cifar10,fc3_wobn,kaiming_out,0.82,1,1,58.15999984741211
cifar10,fc3_wobn,kaiming_out,0.84,0,2,57.43000030517578
cifar10,fc3_wobn,kaiming_in,0.98,0,1,49.41999816894531
cifar10,fc3_wobn,kaiming_in,0.98,0,2,48.70000076293945
cifar10,fc3_wobn,kaiming_in,0.92,1,2,57.650001525878906
cifar10,fc3_wobn,kaiming_in,0.94,0,2,56.709999084472656
cifar10,fc3_wobn,xavier,0.98,1,4,50.5
cifar10,fc3_wobn,kaiming_out,0.84,1,2,57.7599983215332
cifar10,fc3_wobn,kaiming_in,0.96,0,4,55.16999816894531
cifar10,fc3_wobn,xavier,0.86,0,2,58.599998474121094
cifar10,fc3_wobn,kaiming_in,0.82,0,5,58.290000915527344
cifar10,fc3_wobn,kaiming_out,0.86,1,2,58.2599983215332
cifar10,fc3_wobn,kaiming_out,0.80,1,2,58.369998931884766
cifar10,fc3_wobn,kaiming_out,0.82,0,4,57.720001220703125
cifar10,fc3_wobn,kaiming_in,0.82,1,4,58.279998779296875
cifar10,fc3_wobn,kaiming_out,0.88,0,5,58.45000076293945
cifar10,fc3_wobn,xavier,0.94,0,4,56.5
cifar10,fc3_wobn,kaiming_in,0.88,1,2,58.43000030517578
cifar10,fc3_wobn,kaiming_in,0.96,0,5,55.75
cifar10,fc3_wobn,xavier,0.86,0,1,58.27000045776367
cifar10,fc3_wobn,kaiming_in,0.96,0,1,54.70000076293945
cifar10,fc3_wobn,kaiming_in,0.98,0,4,50.150001525878906
cifar10,fc3_wobn,kaiming_out,0.92,1,3,57.66999816894531
cifar10,fc3_wobn,kaiming_out,0.96,0,2,54.95000076293945
cifar10,fc3_wobn,kaiming_out,0.82,1,3,57.650001525878906
cifar10,fc3_wobn,xavier,0.88,0,5,57.66999816894531
cifar10,fc3_wobn,kaiming_in,0.80,0,1,58.43000030517578
cifar10,fc3_wobn,kaiming_in,0.90,1,5,58.08000183105469
cifar10,fc3_wobn,xavier,0.80,0,3,58.09000015258789
cifar10,fc3_wobn,kaiming_in,0.94,1,3,56.83000183105469
cifar10,fc3_wobn,xavier,0.96,1,1,55.0099983215332
cifar10,fc3_wobn,kaiming_in,0.82,1,3,58.31999969482422
cifar10,fc3_wobn,xavier,0.90,1,4,57.36000061035156
cifar10,fc3_wobn,xavier,0.92,1,1,57.220001220703125
cifar10,fc3_wobn,kaiming_out,0.90,1,1,57.619998931884766
cifar10,fc3_wobn,kaiming_out,0.88,1,2,58.209999084472656
cifar10,fc3_wobn,kaiming_out,0.94,1,1,56.81999969482422
cifar10,fc3_wobn,kaiming_in,0.94,0,1,56.84000015258789
cifar10,fc3_wobn,kaiming_in,0.86,0,2,58.150001525878906
cifar10,fc3_wobn,kaiming_in,0.90,0,5,58.15999984741211
cifar10,fc3_wobn,kaiming_in,0.84,1,3,57.93000030517578
cifar10,fc3_wobn,kaiming_out,0.96,0,1,54.810001373291016
