data type,model,init method,prune ratio,restore,mean,max,min,std
cifar10,conv3,kaiming_in,0.0,0,70.04400177001953,72.83000183105469,68.37000274658203,1.8908548156590923
cifar10,conv3,kaiming_in,0.0,1,70.8020004272461,75.16000366210938,68.6500015258789,2.5131310075167375
cifar10,conv3,kaiming_in,0.0,2,76.14199981689453,76.43000030517578,75.62999725341797,0.31380050630320755
cifar10,conv3,kaiming_in,0.0,3,76.24200134277343,76.62000274658203,75.4000015258789,0.48695017290639636
cifar10,conv3,kaiming_out,0.0,0,66.89200057983399,68.43000030517578,63.380001068115234,2.076335645807973
cifar10,conv3,kaiming_out,0.0,1,66.04199981689453,71.18000030517578,55.779998779296875,6.152615122214788
cifar10,conv3,kaiming_out,0.0,2,65.4900001525879,69.20999908447266,62.7400016784668,2.5462995190470457
cifar10,conv3,kaiming_out,0.0,3,76.36999969482422,76.61000061035156,76.12999725341797,0.1809707490044204
cifar10,conv3,xavier,0.0,0,70.94400177001953,73.19000244140625,68.75,1.93529925107853
cifar10,conv3,xavier,0.0,1,69.43999938964843,73.19999694824219,63.209999084472656,3.8729954441407757
cifar10,conv3,xavier,0.0,2,76.29400024414062,76.68000030517578,76.04000091552734,0.24120475448857676
cifar10,conv3,xavier,0.0,3,76.43000030517578,76.62999725341797,76.16000366210938,0.202358201875631
cifar10,conv3_wobn,kaiming_in,0.0,0,44.32600021362305,72.6500015258789,10.0,31.570429916721892
cifar10,conv3_wobn,kaiming_in,0.0,1,60.80799865722656,74.2699966430664,10.0,28.40900166162408
cifar10,conv3_wobn,kaiming_out,0.0,0,10.007999992370605,10.029999732971191,10.0,0.013038300947431435
cifar10,conv3_wobn,kaiming_out,0.0,1,73.0780014038086,74.33000183105469,71.33000183105469,1.1151320298386358
cifar10,conv3_wobn,xavier,0.0,0,73.01399993896484,74.47000122070312,71.4800033569336,1.262765883568257
cifar10,conv3_wobn,xavier,0.0,1,74.45800170898437,74.83000183105469,73.69000244140625,0.44493788348213487
cifar10,fc3,kaiming_in,0.0,0,66.55799865722656,66.95999908447266,66.0999984741211,0.4019567024907725
cifar10,fc3,kaiming_in,0.0,1,66.40599822998047,66.94999694824219,66.04000091552734,0.3449338019110324
cifar10,fc3,kaiming_in,0.0,2,66.78000030517578,67.22000122070312,66.4800033569336,0.29393835904088755
cifar10,fc3,kaiming_in,0.0,3,66.58799896240234,66.91000366210938,66.30999755859375,0.2174190916393149
cifar10,fc3,kaiming_out,0.0,0,66.06999969482422,66.27999877929688,65.70999908447266,0.21295547680100996
cifar10,fc3,kaiming_out,0.0,1,66.57799987792968,66.87999725341797,66.30999755859375,0.20486570399406348
cifar10,fc3,kaiming_out,0.0,2,66.03999938964844,66.27999877929688,65.68000030517578,0.23759186584911038
cifar10,fc3,kaiming_out,0.0,3,66.72200012207031,66.97000122070312,66.37999725341797,0.2279711589399372
cifar10,fc3,xavier,0.0,0,66.38200073242187,66.58000183105469,66.1500015258789,0.17711566763044306
cifar10,fc3,xavier,0.0,1,66.59399871826172,66.87999725341797,66.41999816894531,0.22255347889347216
cifar10,fc3,xavier,0.0,2,66.4760009765625,66.72000122070312,66.19000244140625,0.2227774416631851
cifar10,fc3,xavier,0.0,3,66.67200164794922,66.97000122070312,66.4800033569336,0.2163789426066115
cifar10,fc3_wobn,kaiming_in,0.0,0,55.55,56.13999938964844,55.13999938964844,0.4293015436368861
cifar10,fc3_wobn,kaiming_in,0.0,1,55.7859992980957,56.209999084472656,55.34000015258789,0.35878963599835045
cifar10,fc3_wobn,kaiming_out,0.0,0,10.0,10.0,10.0,0.0
cifar10,fc3_wobn,kaiming_out,0.0,1,55.6379997253418,56.59000015258789,54.88999938964844,0.6420831737425702
cifar10,fc3_wobn,xavier,0.0,0,55.07199935913086,55.4900016784668,54.369998931884766,0.4606740810811777
cifar10,fc3_wobn,xavier,0.0,1,55.83400115966797,56.220001220703125,55.380001068115234,0.327841609859235
