data type,model,init method,prune ratio,restore,mean,max,min,std
cifar10,conv3,kaiming_in,0.8,0,60.454000854492186,60.650001525878906,60.20000076293945,0.1781292282948189
cifar10,conv3,kaiming_in,0.8,1,60.594000244140624,61.310001373291016,60.15999984741211,0.48397337920782313
cifar10,conv3,kaiming_in,0.8,2,59.90800018310547,60.59000015258789,57.93000030517578,1.1209014996043416
cifar10,conv3,kaiming_in,0.8,3,60.22200012207031,61.83000183105469,59.619998931884766,0.9120425771856243
cifar10,conv3,kaiming_in,0.82,0,58.269998931884764,58.86000061035156,57.91999816894531,0.37762491546943455
cifar10,conv3,kaiming_in,0.82,1,59.513999938964844,60.52000045776367,58.91999816894531,0.6030180755245178
cifar10,conv3,kaiming_in,0.82,2,59.14199981689453,59.790000915527344,58.439998626708984,0.5084004008278118
cifar10,conv3,kaiming_in,0.82,3,58.72399978637695,59.63999938964844,58.2400016784668,0.5409523889893798
cifar10,conv3,kaiming_in,0.84,0,57.05400085449219,57.290000915527344,56.72999954223633,0.20719621486571446
cifar10,conv3,kaiming_in,0.84,1,58.06999969482422,58.939998626708984,57.45000076293945,0.543000211965717
cifar10,conv3,kaiming_in,0.84,2,57.15600051879883,57.68000030517578,56.310001373291016,0.5773468272877618
cifar10,conv3,kaiming_in,0.84,3,57.3879997253418,57.959999084472656,57.029998779296875,0.36995927906277637
cifar10,conv3,kaiming_in,0.86,0,55.966000366210935,56.459999084472656,55.790000915527344,0.27924833549098393
cifar10,conv3,kaiming_in,0.86,1,55.49599990844727,56.060001373291016,55.13999938964844,0.35217954573682
cifar10,conv3,kaiming_in,0.86,2,56.09599990844727,56.959999084472656,54.869998931884766,0.8304400320443083
cifar10,conv3,kaiming_in,0.86,3,55.22399978637695,56.0,54.369998931884766,0.590280079975103
cifar10,conv3,kaiming_in,0.88,0,53.79000015258789,54.619998931884766,52.7400016784668,0.7820477606599064
cifar10,conv3,kaiming_in,0.88,1,53.684000396728514,54.65999984741211,52.75,0.6915055986623053
cifar10,conv3,kaiming_in,0.88,2,53.512000274658206,54.029998779296875,53.20000076293945,0.3095473172668982
cifar10,conv3,kaiming_in,0.88,3,53.83999938964844,54.709999084472656,53.290000915527344,0.567185449350469
cifar10,conv3,kaiming_in,0.9,0,51.625999450683594,52.529998779296875,51.119998931884766,0.5402124547890574
cifar10,conv3,kaiming_in,0.9,1,51.98800048828125,52.97999954223633,51.20000076293945,0.8418246386449953
cifar10,conv3,kaiming_in,0.9,2,51.960000610351564,52.790000915527344,51.2400016784668,0.5740204370307945
