data type,model,init method,prune ratio,restore,mean,max,min,std
cifar10,conv3,kaiming_in,0.8,0,60.07199935913086,60.90999984741211,59.25,0.6082105119576897
cifar10,conv3,kaiming_in,0.8,1,60.12199935913086,61.220001220703125,59.54999923706055,0.638217250034365
cifar10,conv3,kaiming_in,0.82,0,58.918000030517575,59.7400016784668,57.56999969482422,0.8318477628340207
cifar10,conv3,kaiming_in,0.82,1,58.7,59.68000030517578,56.869998931884766,1.0994324000019353
cifar10,conv3,kaiming_in,0.84,0,57.18600006103516,57.56999969482422,56.2599983215332,0.5343976449207917
cifar10,conv3,kaiming_in,0.84,1,56.8880012512207,57.33000183105469,56.310001373291016,0.37218276228932295
cifar10,conv3,kaiming_in,0.86,0,55.73999938964844,56.31999969482422,54.59000015258789,0.6664829372277196
cifar10,conv3,kaiming_in,0.86,1,55.55200042724609,56.08000183105469,55.06999969482422,0.3731896104973548
cifar10,conv3,kaiming_in,0.88,0,53.577999877929685,54.5099983215332,52.400001525878906,0.8097642289822882
cifar10,conv3,kaiming_in,0.88,1,53.55,54.72999954223633,52.709999084472656,0.8284922774155762
cifar10,conv3,kaiming_in,0.9,0,51.93000030517578,52.97999954223633,50.58000183105469,1.0193624040781324
cifar10,conv3,kaiming_in,0.9,1,52.23600082397461,53.08000183105469,51.27999877929688,0.7300217316421396
cifar10,conv3,kaiming_in,0.92,0,48.9,49.72999954223633,47.97999954223633,0.6561628034527898
cifar10,conv3,kaiming_in,0.92,1,48.74599990844727,50.02000045776367,47.95000076293945,0.8262440360788623
cifar10,conv3,kaiming_in,0.94,0,45.767999267578126,46.31999969482422,45.0099983215332,0.49861843245818027
cifar10,conv3,kaiming_in,0.94,1,45.72799911499023,46.54999923706055,44.91999816894531,0.5924698889448091
cifar10,conv3,kaiming_in,0.96,0,38.603999328613284,41.04999923706055,36.63999938964844,1.9091960294218773
cifar10,conv3,kaiming_in,0.96,1,40.752000427246095,42.220001220703125,36.81999969482422,2.2326826111203206
cifar10,conv3,kaiming_in,0.98,0,31.926000595092773,33.84000015258789,29.700000762939453,1.5817015970927566
cifar10,conv3,kaiming_in,0.98,1,29.502000427246095,31.920000076293945,27.6200008392334,1.8863239331176025
cifar10,conv3,kaiming_out,0.8,0,47.80199966430664,51.68000030517578,44.47999954223633,2.7751794428638825
cifar10,conv3,kaiming_out,0.8,1,60.27199935913086,61.43999862670898,59.66999816894531,0.7171956132959052
cifar10,conv3,kaiming_out,0.82,0,48.21399993896485,49.77000045776367,45.61000061035156,1.6844076074961947
cifar10,conv3,kaiming_out,0.82,1,58.98199996948242,59.619998931884766,58.08000183105469,0.5816518560831492
cifar10,conv3,kaiming_out,0.84,0,48.235999298095706,49.5099983215332,46.91999816894531,0.9779979681930022
cifar10,conv3,kaiming_out,0.84,1,57.25999908447265,57.79999923706055,56.45000076293945,0.6045238979726337
cifar10,conv3,kaiming_out,0.86,0,45.25199890136719,47.02999877929688,43.68999862670898,1.3008535008909525
cifar10,conv3,kaiming_out,0.86,1,55.77000045776367,56.72999954223633,54.900001525878906,0.8306020965762693
cifar10,conv3,kaiming_out,0.88,0,44.03600082397461,46.33000183105469,41.45000076293945,1.7364853392603727
cifar10,conv3,kaiming_out,0.88,1,53.715999603271484,54.61000061035156,53.09000015258789,0.5656681879076854
cifar10,conv3,kaiming_out,0.9,0,43.565999603271486,46.02999877929688,42.29999923706055,1.4975244789228463
cifar10,conv3,kaiming_out,0.9,1,51.816000366210936,52.95000076293945,50.970001220703125,0.7552352434712833
cifar10,conv3,kaiming_out,0.92,0,41.86199951171875,42.869998931884766,40.93000030517578,0.7350985120302168
cifar10,conv3,kaiming_out,0.92,1,49.15,49.90999984741211,48.45000076293945,0.6156289471349919
cifar10,conv3,kaiming_out,0.94,0,40.79199981689453,42.11000061035156,38.88999938964844,1.3275995946622705
cifar10,conv3,kaiming_out,0.94,1,45.38400039672852,45.68999862670898,44.650001525878906,0.43872445613348043
cifar10,conv3,kaiming_out,0.96,0,37.1479995727539,39.02999877929688,34.439998626708984,1.7433072504658298
cifar10,conv3,kaiming_out,0.96,1,41.21399993896485,42.18999862670898,40.380001068115234,0.7845888941479662
cifar10,conv3,kaiming_out,0.98,0,26.13400001525879,29.34000015258789,23.63999938964844,2.7725316997673928
cifar10,conv3,kaiming_out,0.98,1,30.6,33.45000076293945,27.32999992370605,2.20886881173601
cifar10,conv3,xavier,0.8,0,60.645999908447266,61.630001068115234,59.29999923706055,0.9141282576013113
cifar10,conv3,xavier,0.8,1,59.77200012207031,60.02000045776367,59.27000045776367,0.2920101839150413
cifar10,conv3,xavier,0.82,0,58.68600006103516,59.650001525878906,56.43999862670898,1.281281583190901
cifar10,conv3,xavier,0.82,1,58.844000244140624,60.040000915527344,57.90999984741211,0.871854195908678
cifar10,conv3,xavier,0.84,0,56.9620002746582,57.880001068115234,56.63999938964844,0.5274658905152074
cifar10,conv3,xavier,0.84,1,57.39000015258789,57.97999954223633,55.7599983215332,0.9339174370233422
cifar10,conv3,xavier,0.86,0,55.85000076293945,56.790000915527344,55.43000030517578,0.5451148620804752
cifar10,conv3,xavier,0.86,1,55.67600021362305,56.13999938964844,55.380001068115234,0.3311036115685989
cifar10,conv3,xavier,0.88,0,53.72799987792969,54.45000076293945,53.25,0.48751421988924654
cifar10,conv3,xavier,0.88,1,53.710000610351564,54.58000183105469,52.5,0.8431492689304086
cifar10,conv3,xavier,0.9,0,51.99599990844727,52.709999084472656,51.209999084472656,0.6043843732115892
cifar10,conv3,xavier,0.9,1,51.737999725341794,52.2400016784668,51.41999816894531,0.34237490922007646
cifar10,conv3,xavier,0.92,0,48.43600082397461,50.130001068115234,47.58000183105469,1.0368846240849796
cifar10,conv3,xavier,0.92,1,48.97799911499023,50.5099983215332,48.13999938964844,0.9340604472240231
cifar10,conv3,xavier,0.94,0,45.900000762939456,46.61000061035156,45.220001220703125,0.6425342066825228
cifar10,conv3,xavier,0.94,1,45.56800003051758,46.68999862670898,44.540000915527344,0.9614412101600799
cifar10,conv3,xavier,0.96,0,41.17000045776367,41.86000061035156,40.31999969482422,0.663551207118242
cifar10,conv3,xavier,0.96,1,40.337999725341795,41.27000045776367,38.709999084472656,0.9792194436601436
cifar10,conv3,xavier,0.98,0,29.023999404907226,32.459999084472656,25.989999771118164,2.5441853816817304
cifar10,conv3,xavier,0.98,1,30.976000213623045,32.65999984741211,28.68000030517578,1.747979097062537
cifar10,conv3_wobn,kaiming_in,0.8,0,58.699999237060545,59.97999954223633,57.59999847412109,0.9808161112774316
cifar10,conv3_wobn,kaiming_in,0.8,1,59.279999542236325,60.2400016784668,58.5099983215332,0.8454007948716401
cifar10,conv3_wobn,kaiming_in,0.82,0,57.41399993896484,58.02999877929688,56.790000915527344,0.47045617419938235
cifar10,conv3_wobn,kaiming_in,0.82,1,57.42000045776367,58.56999969482422,56.31999969482422,0.8746714226821324
cifar10,conv3_wobn,kaiming_in,0.84,0,56.182000732421876,57.27000045776367,55.2400016784668,0.783593443596112
