data type,model,init method,prune ratio,restore,number,best accuracy
cifar10,fc3_wobn,kaiming_in,0.82,0,3,58.88999938964844
cifar10,fc3_wobn,kaiming_out,0.84,0,3,59.0
cifar10,fc3_wobn,xavier,0.86,0,5,59.22999954223633
cifar10,fc3_wobn,xavier,0.98,0,2,51.459999084472656
cifar10,fc3_wobn,kaiming_out,0.98,1,5,52.029998779296875
cifar10,fc3_wobn,kaiming_out,0.94,0,5,57.18000030517578
cifar10,fc3_wobn,xavier,0.82,1,3,59.18000030517578
cifar10,fc3_wobn,xavier,0.92,1,4,58.58000183105469
cifar10,fc3_wobn,kaiming_out,0.96,0,5,55.7400016784668
cifar10,fc3_wobn,kaiming_out,0.98,1,4,52.40999984741211
cifar10,fc3_wobn,kaiming_out,0.86,1,5,59.0099983215332
cifar10,fc3_wobn,kaiming_out,0.92,0,4,57.560001373291016
cifar10,fc3_wobn,xavier,0.96,1,4,55.790000915527344
cifar10,fc3_wobn,kaiming_out,0.80,1,1,58.9900016784668
cifar10,fc3_wobn,xavier,0.82,1,2,59.099998474121094
cifar10,fc3_wobn,kaiming_out,0.90,1,4,58.7599983215332
cifar10,fc3_wobn,xavier,0.80,0,1,59.470001220703125
cifar10,fc3_wobn,kaiming_in,0.86,0,3,59.2400016784668
cifar10,fc3_wobn,kaiming_out,0.92,1,2,58.220001220703125
cifar10,fc3_wobn,kaiming_in,0.86,1,4,59.20000076293945
cifar10,fc3_wobn,kaiming_in,0.90,1,2,58.61000061035156
cifar10,fc3_wobn,kaiming_in,0.90,0,4,58.650001525878906
cifar10,fc3_wobn,xavier,0.92,0,3,57.400001525878906
cifar10,fc3_wobn,kaiming_in,0.98,1,5,51.93000030517578
cifar10,fc3_wobn,kaiming_in,0.80,1,3,58.689998626708984
cifar10,fc3_wobn,xavier,0.94,0,1,56.939998626708984
cifar10,fc3_wobn,kaiming_in,0.84,1,5,58.810001373291016
cifar10,fc3_wobn,kaiming_in,0.94,0,3,56.900001525878906
cifar10,fc3_wobn,xavier,0.94,0,2,56.90999984741211
cifar10,fc3_wobn,kaiming_in,0.88,0,2,59.33000183105469
cifar10,fc3_wobn,kaiming_out,0.82,0,1,58.93000030517578
cifar10,fc3_wobn,xavier,0.88,1,1,59.0
cifar10,fc3_wobn,xavier,0.82,0,5,59.220001220703125
cifar10,fc3_wobn,kaiming_in,0.96,1,3,55.90999984741211
cifar10,fc3_wobn,xavier,0.84,0,3,59.27000045776367
cifar10,fc3_wobn,kaiming_out,0.90,1,5,58.41999816894531
cifar10,fc3_wobn,kaiming_out,0.82,1,1,59.04999923706055
cifar10,fc3_wobn,kaiming_out,0.84,0,2,58.41999816894531
cifar10,fc3_wobn,kaiming_in,0.98,0,1,52.310001373291016
cifar10,fc3_wobn,kaiming_in,0.98,0,2,51.790000915527344
cifar10,fc3_wobn,kaiming_in,0.92,1,2,58.209999084472656
cifar10,fc3_wobn,kaiming_in,0.94,0,2,57.290000915527344
cifar10,fc3_wobn,xavier,0.98,1,4,52.22999954223633
cifar10,fc3_wobn,kaiming_out,0.84,1,2,59.5
cifar10,fc3_wobn,kaiming_in,0.96,0,4,55.439998626708984
cifar10,fc3_wobn,xavier,0.86,0,2,59.54999923706055
cifar10,fc3_wobn,kaiming_in,0.82,0,5,58.63999938964844
cifar10,fc3_wobn,kaiming_out,0.86,1,2,59.65999984741211
cifar10,fc3_wobn,kaiming_out,0.80,1,2,59.41999816894531
cifar10,fc3_wobn,kaiming_out,0.82,0,4,58.689998626708984
cifar10,fc3_wobn,kaiming_in,0.82,1,4,59.040000915527344
cifar10,fc3_wobn,kaiming_out,0.88,0,5,59.22999954223633
cifar10,fc3_wobn,xavier,0.94,0,4,57.619998931884766
cifar10,fc3_wobn,kaiming_in,0.88,1,2,58.83000183105469
cifar10,fc3_wobn,kaiming_in,0.96,0,5,55.880001068115234
cifar10,fc3_wobn,xavier,0.86,0,1,59.0
cifar10,fc3_wobn,kaiming_in,0.96,0,1,56.29999923706055
cifar10,fc3_wobn,kaiming_in,0.98,0,4,52.189998626708984
cifar10,fc3_wobn,kaiming_out,0.92,1,3,57.849998474121094
cifar10,fc3_wobn,kaiming_out,0.96,0,2,55.7599983215332
cifar10,fc3_wobn,kaiming_out,0.82,1,3,58.959999084472656
cifar10,fc3_wobn,xavier,0.88,0,5,59.20000076293945
cifar10,fc3_wobn,kaiming_in,0.80,0,1,58.41999816894531
cifar10,fc3_wobn,kaiming_in,0.90,1,5,58.86000061035156
cifar10,fc3_wobn,xavier,0.80,0,3,58.77000045776367
cifar10,fc3_wobn,kaiming_in,0.94,1,3,57.279998779296875
cifar10,fc3_wobn,xavier,0.96,1,1,55.81999969482422
cifar10,fc3_wobn,kaiming_in,0.82,1,3,59.20000076293945
cifar10,fc3_wobn,xavier,0.90,1,4,58.7400016784668
cifar10,fc3_wobn,xavier,0.92,1,1,58.560001373291016
cifar10,fc3_wobn,kaiming_out,0.90,1,1,58.97999954223633
cifar10,fc3_wobn,kaiming_out,0.88,1,2,58.959999084472656
cifar10,fc3_wobn,kaiming_out,0.94,1,1,57.720001220703125
cifar10,fc3_wobn,kaiming_in,0.94,0,1,57.63999938964844
cifar10,fc3_wobn,kaiming_in,0.86,0,2,59.349998474121094
cifar10,fc3_wobn,kaiming_in,0.90,0,5,58.95000076293945
cifar10,fc3_wobn,kaiming_in,0.84,1,3,59.02000045776367
cifar10,fc3_wobn,kaiming_out,0.96,0,1,55.70000076293945
cifar10,fc3_wobn,xavier,0.92,0,2,58.130001068115234
cifar10,fc3_wobn,kaiming_out,0.92,1,4,58.84000015258789
cifar10,fc3_wobn,kaiming_in,0.84,0,1,58.9900016784668
cifar10,fc3_wobn,xavier,0.92,0,5,57.95000076293945
cifar10,fc3_wobn,kaiming_out,0.88,1,4,58.63999938964844
cifar10,fc3_wobn,kaiming_in,0.88,0,5,58.9900016784668
cifar10,fc3_wobn,kaiming_out,0.96,0,3,55.400001525878906
cifar10,fc3_wobn,xavier,0.98,1,2,52.52000045776367
cifar10,fc3_wobn,xavier,0.94,1,4,57.0
cifar10,fc3_wobn,xavier,0.80,1,5,59.0099983215332
cifar10,fc3_wobn,kaiming_in,0.84,0,4,59.0099983215332
cifar10,fc3_wobn,xavier,0.96,0,3,55.400001525878906
cifar10,fc3_wobn,kaiming_in,0.86,1,3,58.61000061035156
cifar10,fc3_wobn,kaiming_out,0.90,1,3,58.16999816894531
cifar10,fc3_wobn,xavier,0.92,1,3,58.52000045776367
cifar10,fc3_wobn,xavier,0.90,1,3,58.849998474121094
cifar10,fc3_wobn,xavier,0.90,0,5,58.25
cifar10,fc3_wobn,xavier,0.88,0,1,58.88999938964844
